;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,AGRI,MING,CONS,HBJ,USTM_SF,USTM_MF,USTM_RV,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High
9001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,58750.0,0.0,0.0,0.0
9002,2,10.5,23.8,2.27,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.9,0,0,0,0,0,0,0,58750.0,0.0,0.0,0.0
9003,3,60.0,138.4,2.31,88.3,51.1,4.2,33.0,94.6,46.6,4.5,0.1,4.2,0.1,10.8,0.0,22.1,0.0,0.0,1.1,5.2,79,0,69,0,0,0,26,58750.0,14.0,0.0,0.0
9004,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,58750.0,0.0,0.0,0.0
9005,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,58750.0,0.0,0.0,0.0
9006,6,7.2,12.4,1.72,14.2,2.2,6.4,5.6,14.9,1.2,1.1,0.3,6.1,0.5,2.3,0.3,2.6,0.0,0.0,0.1,0.6,15,0,0,0,0,0,0,58750.0,0.0,0.0,0.0
9007,7,6.3,8.3,1.31,41.6,4.3,0.2,37.2,42.3,0.4,3.9,0.1,0.1,0.2,0.9,0.1,36.1,0.0,0.0,0.2,0.5,1,0,0,0,0,0,0,58750.0,0.0,0.0,0.0
9008,8,28.5,78.3,2.74,116.8,56.6,1.0,59.3,120.1,2.3,54.3,0.5,0.4,0.9,4.5,0.5,53.3,0.0,0.0,0.8,2.5,117,0,0,0,0,0,45,58750.0,0.0,0.0,0.0
9009,9,8.6,14.0,1.63,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,35,0,0,0,0,0,18,58750.0,0.0,0.0,0.0
9010,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,0,0,0,0,0,58750.0,0.0,0.0,0.0
9011,11,0.0,0.0,0.0,18.8,1.9,0.4,16.4,18.8,1.0,0.9,0.2,0.2,0.4,13.6,0.2,2.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,58750.0,0.0,0.0,0.0
9012,12,55.5,79.6,1.43,130.0,10.6,6.2,113.3,136.5,2.8,7.8,0.7,5.5,1.2,105.3,0.6,6.1,0.0,0.0,1.7,4.8,68,0,39,0,0,0,0,58750.0,59.0,43.0,45.0
9013,13,80.1,202.8,2.53,87.7,24.5,4.5,58.8,95.2,23.2,1.2,0.3,4.1,0.5,22.1,12.9,23.3,0.0,0.0,0.5,6.9,280,2,21,0,0,0,0,58750.0,0.0,0.0,0.0
9014,14,39.8,67.5,1.69,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,3.4,35,0,0,0,0,0,0,58750.0,0.0,0.0,0.0
9015,15,8.0,23.6,2.94,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0.0,0.1,0.7,2,0,0,0,0,0,0,58750.0,0.0,0.0,0.0
9016,16,96.7,196.6,2.03,26.6,14.7,6.5,5.4,51.1,1.1,13.6,0.3,6.3,0.5,2.2,0.3,2.5,0.0,15.0,1.2,8.3,145,0,0,0,0,0,29,58750.0,0.0,0.0,0.0
9017,17,66.5,199.0,2.99,75.1,4.8,17.6,52.8,97.1,0.1,4.6,17.5,0.0,30.6,21.9,0.0,0.3,14.8,0.0,1.5,5.7,51,0,0,0,0,0,20,58750.0,0.0,0.0,0.0
9018,18,7.2,17.7,2.47,0.0,0.0,0.0,0.0,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,0.0,0.1,0.6,10,0,0,0,0,0,0,58750.0,0.0,0.0,0.0
9019,19,0.0,0.0,0.0,7.8,6.4,0.1,1.3,7.8,0.3,6.2,0.1,0.0,0.1,0.5,0.1,0.6,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,58750.0,0.0,0.0,0.0
